"network_code","network_name","park_code","park_name","site_name","station_code","station_name","station_latitude","station_longitude","station_datum","SET_depth_m","SET_date_established","SET_date_retired","station_status","protected_status","station_notes"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch3","Schoodic 3",44.342348,-68.059398,"NAD83",9.45,2011-06-20,NA,"Active","Not Protected","Schoodic SET 3"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch2","Schoodic 2",44.342403,-68.059548,"NAD83",7.32,2011-06-20,NA,"Active","Not Protected","Schoodic SET 2"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Schoodic","Sch1","Schoodic 1",44.342225,-68.059526,"NAD83",16.16,2011-06-20,NA,"Active","Not Protected","Schoodic SET 1"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH3","Bass Harbor 3",44.257912,-68.342007,"NAD83",21.65,2011-06-20,NA,"Active","Not Protected","Bass Harbor SET 3"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH2","Bass Harbor 2",44.257754,-68.343174,"NAD83",20.58,2011-06-20,NA,"Active","Not Protected","Bass Harbor SET 2"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH1 old","Bass Harbor 1 Old",44.256554,-68.343764,"NAD83",15.55,2011-06-20,NA,"Active","Not Protected","Bass Harbor SET 1 - Original BH SET 1 before it was damaged by ice - Retired"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Bass Harbor","BH1","Bass Harbor 1",44.256554,-68.343764,"NAD83",15.55,2011-06-20,NA,"Active","Not Protected","The original SET (BH1) from 2011 was bent over in the winter of 2016/2017 (Ice flow?).  The SET is no longer measuring the same surface that it used to, so this new SET was created to record the data collected from 2017 onward. Elevation of the receiver (1.457m NAVD88) is from a 2023 survey of the SET after is was bent over in 2017.
"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 3","MCHT 3",44.374597,-68.327497,"NAD83",8.54,2011-06-21,NA,"Active","Not Protected","Babson Creek SET 3"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 2","MCHT 2",44.374646,-68.327835,"NAD83",7.93,2011-06-21,NA,"Active","Not Protected","Babson Creek SET 2"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Maine Coast Heritage","MCHT 1","MCHT 1",44.375066,-68.328044,"NAD83",10.98,2011-06-21,NA,"Active","Not Protected","Babson Creek SET 1 (Maine Coast Heritage Trust)."
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Thompson Island","Thomp 3","Thompson 3",44.42318,-68.365544,"NAD83",1.52,2011-06-21,NA,"Active","Not Protected","Thompson Island SET 3"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Thompson Island","Thomp 2","Thompson 2",44.425522,-68.364162,"NAD83",1.91,2011-06-21,NA,"Active","Not Protected","Thompson Island SET 2"
"NETN","Northeast Temperate Network","ACAD","Acadia National Park","Thompson Island","Thomp 1","Thompson 1",44.425505,-68.364301,"NAD83",1.83,2011-06-21,NA,"Active","Not Protected","Thompson Island SET 1"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 5 (Pope Bay)","M5-4","M5-4",38.049034,-75.237227,"NAD83",19.51,2009-04-27,NA,"Active","Not Protected","Marsh 5 pipe 4"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 5 (Pope Bay)","M5-3","M5-3",38.049256,-75.238538,"NAD83",21.95,2009-04-27,NA,"Active","Not Protected","Marsh 5 pipe 3"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 5 (Pope Bay)","M5-2","M5-2",38.049193,-75.238766,"NAD83",20.73,2009-04-27,NA,"Active","Not Protected","Marsh 5 pipe 2 (exclosure)"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 5 (Pope Bay)","M5-1","M5-1",38.047689,-75.238225,"NAD83",21.95,2009-04-27,NA,"Active","Not Protected","Marsh 5 pipe 1"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-4","M11-4",38.151444,-75.188264,"NAD83",19.51,2009-04-29,NA,"Active","Not Protected","Marsh 11 pipe 4"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-3","M11-3",38.151382,-75.187522,"NAD83",18.29,2009-04-29,NA,"Active","Not Protected","Marsh 11 pipe 3 Exclosure"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-2","M11-2",38.150066,-75.187849,"NAD83",18.29,2009-04-29,NA,"Active","Not Protected","Marsh 11 pipe 2"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 11","M11-1","M11-1",38.149129,-75.187676,"NAD83",19.51,2009-04-29,NA,"Active","Not Protected","Marsh 11 pipe 1"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 6 (Pine Tree)","M6-4","M6-4",38.14362,-75.189042,"NAD83",19.51,2009-04-28,NA,"Active","Not Protected","Marsh 6 pipe 4 (exclosure)"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 6 (Pine Tree)","M6-3","M6-3",38.140652,-75.189922,"NAD83",19.51,2009-04-28,NA,"Active","Not Protected","Marsh 6 pipe 3"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 6 (Pine Tree)","M6-2","M6-2",38.140624,-75.189742,"NAD83",19.51,2009-04-28,NA,"Active","Not Protected","Marsh 6 pipe 2"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 6 (Pine Tree)","M6-1","M6-1",38.140837,-75.189768,"NAD83",19.51,2009-04-08,NA,"Active","Not Protected","Marsh 6 pipe 1"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 8 (Valentines)","M8-4","M8-4",38.088278,-75.222141,"NAD83",18.29,2009-04-28,NA,"Active","Not Protected","Marsh 8 pipe 4 (exclosure)"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 8 (Valentines)","M8-3","M8-3",38.088702,-75.221834,"NAD83",18.29,2009-04-28,NA,"Active","Not Protected","Marsh 8 pipe 3"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 8 (Valentines)","M8-2","M8-2",38.088423,-75.221503,"NAD83",18.29,2009-04-28,NA,"Active","Not Protected","Marsh 8 pipe 2"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Marsh 8 (Valentines)","M8-1","M8-1",38.088154,-75.221103,"NAD83",18.29,2009-04-28,NA,"Active","Not Protected","Marsh 8 Pipe 1"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Pine Tree Study","PT_SET1","PT_SET1",38.142839,-75.186724,"NAD83",22.55,2016-05-16,NA,"Active","Not Protected","Western most of the three SETs"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Pine Tree Study","PT_SET2","PT_SET2",38.142192,-75.185946,"NAD83",21.94,2016-05-16,NA,"Active","Not Protected","Southernmost of the three SETs"
"NCBN","Northeast Coastal and Barrier Network","ASIS","Assateague Island National Seashore","Pine Tree Study","PT_SET3","PT_SET3",38.143048,-75.185617,"NAD83",24.38,2016-05-16,NA,"Active","Not Protected","Eastern most of the three SETs"
"SFCN","South Florida/Caribbean Network","BISC","Biscayne National Park","BISC 1","BISC1_1","Benchmark 1",25.483932,-80.339739,"NAD83",4.97,2010-09-28,NA,"Active","Not Protected",NA
"SFCN","South Florida/Caribbean Network","BISC","Biscayne National Park","BISC 1","BISC1_2","Benchmark 2",25.483984,-80.339748,"NAD83",3.15,2010-09-28,NA,"Active","Not Protected",NA
"SFCN","South Florida/Caribbean Network","BISC","Biscayne National Park","BISC 1","BISC1_3","Benchmark 3",25.483996,-80.339802,"NAD83",4.97,2010-09-28,NA,"Active","Not Protected",NA
"SFCN","South Florida/Caribbean Network","BISC","Biscayne National Park","BISC 2","BISC2_1","Benchmark 1",25.541793,-80.312704,"NAD83",0.61,2011-09-27,NA,"Active","Not Protected","NOTE:  Coordinates reported above are for BISC2_1 which are close, but not exact coordinates for BISC2_3."
"SFCN","South Florida/Caribbean Network","BISC","Biscayne National Park","BISC 2","BISC2_2","Benchmark 2",25.54174,-80.31273,"NAD83",0.61,2011-09-27,NA,"Active","Not Protected",NA
"SFCN","South Florida/Caribbean Network","BISC","Biscayne National Park","BISC 2","BISC2_3","Benchmark 3",25.541793,-80.312704,"NAD83",0.61,2011-09-27,NA,"Active","Not Protected",NA
"NETN","Northeast Temperate Network","BOHA","Boston Harbor Islands National Recreation Area","Peddocks Island","Ped3","SET-P3",42.290026,-70.942347,"NAD83",3.66,2010-04-06,NA,"Active","Not Protected","South western side of the pond"
"NETN","Northeast Temperate Network","BOHA","Boston Harbor Islands National Recreation Area","Peddocks Island","Ped2","SET-P2",42.290152,-70.94189,"NAD83",6.1,2010-04-06,NA,"Active","Not Protected","southern side of pond"
"NETN","Northeast Temperate Network","BOHA","Boston Harbor Islands National Recreation Area","Peddocks Island","Ped1","SET-P1",42.291097,-70.940767,"NAD83",4.7,2010-04-06,NA,"Active","Not Protected","Northeast corner of pond"
"NETN","Northeast Temperate Network","BOHA","Boston Harbor Islands National Recreation Area","ThompIsland","Thomp4","SET-T4",42.312871,-71.01212,"NAD83",24.39,2010-04-05,NA,"Active","Not Protected","Southeast corner"
"NETN","Northeast Temperate Network","BOHA","Boston Harbor Islands National Recreation Area","ThompIsland","Thomp3","SET-T3",42.312855,-71.014455,"NAD83",21.95,2010-04-05,NA,"Active","Not Protected","East of Pipe 2"
"NETN","Northeast Temperate Network","BOHA","Boston Harbor Islands National Recreation Area","ThompIsland","Thomp2","SET-T2",42.312514,-71.014785,"NAD83",6.71,2010-04-05,NA,"Active","Not Protected","Western most SET station"
"NETN","Northeast Temperate Network","BOHA","Boston Harbor Islands National Recreation Area","ThompIsland","Thomp1","SET-T1",42.314127,-71.012191,"NAD83",17.07,2010-04-05,NA,"Active","Not Protected","Northeast Corner"
"NETN","Northeast Temperate Network","BOHA","Boston Harbor Islands National Recreation Area","Calf Island","Calf 3","SET-C3",42.341395,-70.896027,"NAD83",2.74,2010-04-18,NA,"Active","Not Protected","Calf - Southern end of marsh
NOTE : SET data from this site is not trusted by Jim Lynch (Project Lead). Sediment is very organic and it is very tough determining where the marsh surface is. Pin placement is not consistent at each sampling event."
"NETN","Northeast Temperate Network","BOHA","Boston Harbor Islands National Recreation Area","Calf Island","Calf 2","SET-C2",42.341881,-70.89637,"NAD83",3.45,2010-04-06,NA,"Active","Not Protected","Calf - Northwest corner"
"NETN","Northeast Temperate Network","BOHA","Boston Harbor Islands National Recreation Area","Calf Island","Calf 1","Calf 1",42.341997,-70.89608,"NAD83",2.59,2010-04-06,NA,"Active","Not Protected","Calf Island - NE corner
5/21/18 - Station is Retired! Under 3' of cobble following spring storms. No more sampling will occur at this station!"
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Nauset Marsh","Old N1","Old N1",41.824751,-69.963021,"NAD83",5.5,1998-11-05,NA,"Active","Operationally Protected","Old (original) SET N1 - Northern most marsh SET at Nauset. Used a 20' long, 3"" diameter aluminum pipe for the benchmark. CACO (USGS Roman98 - Brass) and CACO Pin SET 36"" pins (Brass) measured from the top of the nut to the top of the pin notch were used between establishment in Nov. 1998 to May 2006. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (- top of plate) measured from the top of the plate to the top of the pin were used between May 2006 to Oct. 2007, between May 2011 to Oct. 2011, and Oct. 2012. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (-top of nut) measured from the top of the nut to the top of the pin were used between April 2008 to Oct. 2010, June 2012, and from May 2013 onward."
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Nauset Marsh","Old N2","Old N2",41.82398,-69.962588,"NAD83",5.5,1998-11-05,NA,"Active","Operationally Protected","Old (original) SET N2 - Original style SET at Nauset. Used a 20' long, 3"" diameter aluminum pipe for the benchmark. CACO (USGS Roman98 - Brass) and CACO Pin SET 36"" pins (Brass) measured from the top of the nut to the top of the pin notch were used between establishment in Nov. 1998 to May 2006. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (- top of plate) measured from the top of the plate to the top of the pin were used between May 2006 to Oct. 2007, between May 2011 to Oct. 2011, and Oct. 2012. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (-top of nut) measured from the top of the nut to the top of the pin were used between April 2008 to Oct. 2010, June 2012, and from May 2013 onward."
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Nauset Marsh","Old N3","Old N3",41.824153,-69.957991,"NAD83",5.5,1998-11-05,NA,"Active","Operationally Protected","Old (original) SET N3 - Original style SET at Nauset. Used a 20' long, 3"" diameter aluminum pipe for the benchmark. CACO (USGS Roman98 - Brass) and CACO Pin SET 36"" pins (Brass) measured from the top of the nut to the top of the pin notch were used between establishment in Nov. 1998 to May 2006. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (- top of plate) measured from the top of the plate to the top of the pin were used between May 2006 to Oct. 2007, between May 2011 to Oct. 2011, and Oct. 2012. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (-top of nut) measured from the top of the nut to the top of the pin were used between April 2008 to Oct. 2010, June 2012, and from May 2013 onward."
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Nauset Marsh","Old N4","Old N4",41.819693,-69.957178,"NAD83",5.5,1998-11-05,NA,"Active","Operationally Protected","Old SET N4 - Original style SET at Nauset. Used a 20' long, 3"" diameter aluminum pipe for the benchmark. CACO (USGS Roman98 - Brass) and CACO Pin SET 36"" pins (Brass) measured from the top of the nut to the top of the pin notch were used between establishment in Nov. 1998 to May 2006. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (- top of plate) measured from the top of the plate to the top of the pin were used between May 2006 to Oct. 2007, between May 2011 to Oct. 2011, and Oct. 2012. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (-top of nut) measured from the top of the nut to the top of the pin were used between April 2008 to Oct. 2010, June 2012, and from May 2013 onward."
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Nauset Marsh","N1","N1",41.814809,-69.951964,"NAD83",24.4,2013-07-16,NA,"Active","Operationally Protected","RSET N1 - installed in July 2013 - Jim Lynch, Dennis Skidds, Kelly Medeiros
"
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Nauset Marsh","N2","N2",41.816862,-69.955306,"NAD83",24.4,2013-07-16,NA,"Active","Operationally Protected","RSET installed in July 2013 - Jim Lynch, Dennis Skidds, Kelly Medeiros"
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Nauset Marsh","N3","N3",41.822348,-69.958422,"NAD83",24.4,2013-07-16,NA,"Active","Not Protected","RSET - Northernmost of the three RSETs.  
RSET installed in July 2013 - Jim Lynch, Dennis Skidds, Kelly Medeiros"
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Herring River","GUT1","GUT1",41.928,-70.071464,"NAD83",6,2000-09-18,NA,"Active","Not Protected","Old (original) SET1 - Northernmost of the three old sets. CACO (USGS Roman98 - Brass) and CACO Pin SET 36"" pins (Brass) measured from the top of the nut to the top of the pin notch were used between establishment in Sept. 2000 to May 2006. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (- top of plate) measured from the top of the plate to the top of the pin were used between May 2006 to Sept. 2007, between May 2011 to Oct, and May 2015. 2012. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (-top of nut) measured from the top of the nut to the top of the pin were used between April 2008 to Sept. 2010, from May 2013 to Oct. 2014, and from Oct. 2015 onward."
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Herring River","GUT2","GUT2",41.9278,-70.071457,"NAD83",6,2000-09-11,NA,"Active","Not Protected","Old (original) SET #2. CACO (USGS Roman98 - Brass) and CACO Pin SET 36"" pins (Brass) measured from the top of the nut to the top of the pin notch were used between establishment in Sept. 2000 to May 2006. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (- top of plate) measured from the top of the plate to the top of the pin were used between May 2006 to Sept. 2007 and between May 2011 to Oct. 2012. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (-top of nut) measured from the top of the nut to the top of the pin were used between April 2008 to Sept. 2010 and from May 2013 onward."
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Herring River","GUT3","GUT3",41.927108,-70.071436,"NAD83",6,2000-09-11,NA,"Active","Not Protected","Old (original) SET 3 - southernmost SET. CACO (USGS Roman98 - Brass) and CACO Pin SET 36"" pins (Brass) measured from the top of the nut to the top of the pin notch were used between establishment in Sept. 2000 to May 2006. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (- top of plate) measured from the top of the plate to the top of the pin were used between May 2006 to Sept. 2007 and between May 2011 to Oct. 2012. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (-top of nut) measured from the top of the nut to the top of the pin were used between April 2008 to Sept. 2010 and from May 2013 onward."
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Herring River","G1","G1",41.92811,-70.07147,"NAD83",24.4,2015-10-20,NA,"Active","Not Protected","RSET - 80 feet deep - 20 SS rods"
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Herring River","G2","G2",41.9277,-70.071465,"NAD83",24.4,2015-10-20,NA,"Active","Not Protected","RSET - 20 rods deep - 80 feet."
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Herring River","G3","G3",41.927052,-70.071429,"NAD83",24.4,2015-10-20,NA,"Active","Not Protected","RSET - 80 feet deep - 20 rods"
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Herring River","Phrag1","Phrag1",41.938169,-70.057573,"NAD83",6,2000-09-18,NA,"Active","Not Protected","Old SET #1 - Downstream - Closest to the Dike. Farthest from the canoe launch site."
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Herring River","Phrag2","Phrag2",41.93806,-70.05721,"NAD83",6,2000-09-18,NA,"Active","Not Protected","Old (original) SET - 20 foot aluminum irrigation pipe. About 18' in. CACO (USGS Roman98 - Brass) and CACO Pin SET 36"" pins (Brass) measured from the top of the nut to the top of the pin notch were used between establishment in Sept. 2000 to June 2006. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (- top of plate) measured from the top of the plate to the top of the pin were used between June 2006 to Sept. 2007 and between May 2011 to Oct. 2012. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (-top of nut) measured from the top of the nut to the top of the pin were used between April 2008 to Sept. 2010 and from May 2013 onward."
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Herring River","Phrag3","Phrag3",41.938915,-70.054739,"NAD83",6,2000-09-18,NA,"Active","Not Protected","Old (original) SET - upstream SET - closest to the canoe launch and parking area.  Installed with a hand pounder. CACO (USGS Roman98 - Brass) and CACO Pin SET 36"" pins (Brass) measured from the top of the nut to the top of the pin notch were used between establishment in Sept. 2000 to June 2006. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (- top of plate) measured from the top of the plate to the top of the pin were used between June 2006 to Sept. 2007 and between May 2011 to Oct. 2012. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (-top of nut) measured from the top of the nut to the top of the pin were used between April 2008 to Sept. 2010 and from May 2013 onward."
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Herring River","HighToss1","HighToss1",41.944926,-70.04916,"NAD83",6,2000-09-20,NA,"Active","Not Protected","Old (original) SET installed in 2000. Farthest (Eastern-most) from the entry point to the marsh. CACO (USGS Roman98 - Brass) and CACO Pin SET 36"" pins (Brass) measured from the top of the nut to the top of the pin notch were used between establishment in Sept. 2000 to May 2006. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (- top of plate) measured from the top of the plate to the top of the pin were used between May 2006 to Sept. 2007 and between May 2011 to Oct. 2012. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (-top of nut) measured from the top of the nut to the top of the pin were used between April 2008 to Sept. 2010 and from May 2013 onward."
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Herring River","HighToss2","HighToss2",41.9442,-70.050121,"NAD83",6,2000-09-20,NA,"Active","Not Protected","Old (original) SET - High Toss 2 - middle SET - installed with a hand pounder CACO (USGS Roman98 - Brass) and CACO Pin SET 36"" pins (Brass) measured from the top of the nut to the top of the pin notch were used between establishment in Sept. 2000 to May 2006. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (- top of plate) measured from the top of the plate to the top of the pin were used between May 2006 to Sept. 2007 and between May 2011 to Oct. 2012. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (-top of nut) measured from the top of the nut to the top of the pin were used between April 2008 to Sept. 2010 and from May 2013 onward."
"NCBN","Northeast Coastal and Barrier Network","CACO","Cape Cod National Seashore","Herring River","HighToss3","HighToss3",41.944146,-70.050937,"NAD83",6,2000-09-20,NA,"Active","Not Protected","Old (original) SET 3 - Closest to the entry point. Furthest east of the three SETs. CACO (USGS Roman98 - Brass) and CACO Pin SET 36"" pins (Brass) measured from the top of the nut to the top of the pin notch were used between establishment in Sept. 2000 to May 2006. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (- top of plate) measured from the top of the plate to the top of the pin were used between May 2006 to Sept. 2007 and between May 2011 to Oct. 2012. CACO (USGS Roman2 - FG) and CACO SET 36"" pins (-top of nut) measured from the top of the nut to the top of the pin were used between April 2008 to Sept. 2010 and from May 2013 onward."
